# source=last_training_epoch
boundary_label,x,y,phi_pred,phi_target,abs_error
G1,0.00000000,0.08088788,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.89513904,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.88205886,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.85274142,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.33213812,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.90367031,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.90905803,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.51240271,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.28985810,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.52933496,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.68072903,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.45399413,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.10912989,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.20899412,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.97854906,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.52254224,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.97848070,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.63127583,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.45234874,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.40664327,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.45770040,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.85238570,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.39278635,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.76231301,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.78338265,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.78766346,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.07141218,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.60627866,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.04455531,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.08610901,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.92615813,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.93621290,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.46494582,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.98886418,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.08006734,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.64678162,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.84381127,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.51460594,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.43351626,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.01499156,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.37618425,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.65292782,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.62012506,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.65603441,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.18066159,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.48596469,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.97470719,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.33947051,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.83145452,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.21196836,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.96562624,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.92703122,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.31145155,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.42764229,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.73064953,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.69467849,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.12591755,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.50614071,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.82084125,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.96267331,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.84491342,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.49644011,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.44027239,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.23343061,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.38451898,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.58782804,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.33444092,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.67784566,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.76902539,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.83615083,1.00000000e+00,1.00000000e+00,0.00000000e+00
