# source=last_training_epoch
boundary_label,x,y,phi_pred,phi_target,abs_error
G1,0.00000000,0.29231423,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.72170275,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.88201213,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.08456202,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.01221369,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.65328640,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.83512306,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.55216688,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.45500854,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.49552152,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.61343044,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.00401538,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.71614146,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.87006271,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.48724574,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.38764325,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.57493395,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.01976708,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.58142376,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.34040019,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.12309706,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.42168087,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.13709131,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.42267436,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.06152653,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.72597843,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.74039996,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.20795248,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.88023871,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.32798114,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.80541098,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.16000137,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.23096773,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.29811749,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.98155236,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.74024075,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.08761442,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.27115989,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.10608800,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.18645056,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.07058823,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.96288395,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.65747213,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.28409874,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.06041238,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.63859522,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.87955946,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.97091740,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.11097085,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.81140572,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.02445183,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.66372406,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.33689004,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.63265312,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.59786946,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.57433844,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.83297706,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.81041992,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.85102791,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.56429166,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.85619849,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.40320724,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.12402967,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.82913774,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.78493768,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.76946586,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.88589221,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.09669985,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.91473240,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.02762946,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.17697133,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.41770187,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.33084148,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.64005399,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.73687065,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.48292044,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.67239100,1.00000000e+00,1.00000000e+00,0.00000000e+00
G1,0.00000000,0.52950495,1.00000000e+00,1.00000000e+00,0.00000000e+00
